Method,SQuAD_EN,MLQA_VI,XQuAD_VI
M0: Zero-shot (Baseline),72.84,67.21,63.64
M1: Vanilla KD,73.93,64.42,69.31
M2: OT Only (Global),72.75,56.06,57.63
M3: OT + Span (Local),73.09,65.33,66.5
M4: Static Margin,73.9,67.41,71.24
M5: Ours (Dynamic),73.27,68.1,71.22
