example,dist_before,dist_after,cos_before,cos_after,common_mode_shift_cosine,en_norm_before,en_norm_after,vi_norm_before,vi_norm_after
sample_0000,2.623692750930786,2.6237103939056396,0.9937770366668701,0.9937778115272522,0.9724979996681213,23.537704467773438,23.540864944458008,23.49068260192871,23.488943099975586
sample_0001,2.9609785079956055,2.962632894515991,0.9922584295272827,0.9922489523887634,0.9523913860321045,23.637331008911133,23.64198112487793,23.7270450592041,23.722854614257812
sample_0002,2.7397572994232178,2.738051652908325,0.9933708310127258,0.9933789968490601,0.9469894766807556,23.82693862915039,23.828977584838867,23.73402214050293,23.723989486694336
sample_0003,2.5095291137695312,2.5093302726745605,0.9943294525146484,0.9943305850028992,0.9677926301956177,23.59054183959961,23.5935115814209,23.521291732788086,23.513065338134766
sample_0004,2.579098701477051,2.5810556411743164,0.9942159652709961,0.9942069053649902,0.9208454489707947,23.98046112060547,23.9843692779541,23.9785099029541,23.972909927368164
sample_0005,2.7397572994232178,2.738051652908325,0.9933708310127258,0.9933789968490601,0.9469894766807556,23.82693862915039,23.828977584838867,23.73402214050293,23.723989486694336
sample_0006,3.0766022205352783,3.08162784576416,0.9917303323745728,0.9917049407958984,0.9432986974716187,23.96712875366211,23.970632553100586,23.830801010131836,23.825218200683594
sample_0007,2.9440882205963135,2.9454386234283447,0.992369532585144,0.9923623204231262,0.9450122714042664,23.825437545776367,23.829687118530273,23.835336685180664,23.830331802368164
sample_0008,2.9125053882598877,2.911567211151123,0.9923741221427917,0.992375910282135,0.9466668963432312,23.471506118774414,23.476581573486328,23.627182006835938,23.621606826782227
sample_0009,2.475877046585083,2.4796195030212402,0.9946193099021912,0.9946039915084839,0.8903174996376038,23.866424560546875,23.873350143432617,23.866960525512695,23.864784240722656
sample_0010,2.8658597469329834,2.863452672958374,0.992986261844635,0.9929984211921692,0.9562668800354004,24.226886749267578,24.230121612548828,24.149900436401367,24.143619537353516
sample_0011,2.9482831954956055,2.944532632827759,0.9925653338432312,0.9925804138183594,0.9333085417747498,23.95709800720215,23.96162223815918,24.21485137939453,24.210186004638672
sample_0012,3.084897756576538,3.0879838466644287,0.9917961359024048,0.9917829036712646,0.9648976922035217,24.131872177124023,24.135879516601562,23.901765823364258,23.89803695678711
sample_0013,2.7944605350494385,2.7956817150115967,0.9932141304016113,0.9932093620300293,0.9529381394386292,24.02494239807129,24.028488159179688,23.90822410583496,23.899595260620117
